adduser	3.152
man-db	2.13.1-1
manpages	6.9.1-1
mawk	1.3.4.20250131-1
media-types	13.0.0
mokutil	0.7.2-1
mount	2.41-5
nano	8.4-1+deb13u1
ncurses-base	6.5+20250216-2
ncurses-bin	6.5+20250216-2
netbase	6.5
netcat-openbsd	1.229-1
netplan-generator	1.1.2-7
netplan.io	1.1.2-7
openssh-client	1:10.0p1-7+deb13u4
openssh-server	1:10.0p1-7+deb13u4
openssh-sftp-server	1:10.0p1-7+deb13u4
openssl	3.5.6-1~deb13u2
openssl-provider-legacy	3.5.6-1~deb13u2
passwd	1:4.17.4-2
patch	2.8-2
pci.ids	0.0~2025.06.09-1
pciutils	1:3.13.0-2
perl	5.40.1-6
perl-base	5.40.1-6
perl-modules-5.40	5.40.1-6
pkg-config:arm64	1.8.1-4
pkgconf:arm64	1.8.1-4
pkgconf-bin	1.8.1-4
polkitd	126-2
procps	2:4.0.4-9
protobuf-compiler	3.21.12-11+deb13u1
psmisc	23.7-2
python-apt-common	3.0.0
python3	3.13.5-1
python3-apt	3.0.0
python3-attr	25.3.0-1
python3-bcrypt	4.2.0-2.1+b1
python3-blinker	1.9.0-1
python3-certifi	2025.1.31+ds-1
python3-cffi-backend:arm64	1.17.1-3
python3-chardet	5.2.0+dfsg-2
python3-charset-normalizer	3.4.2-1
python3-configobj	5.0.9-1
python3-cryptography	43.0.0-3+deb13u1
python3-dbus	1.4.0-1
python3-debconf	1.5.91
python3-debian	1.0.1
python3-debianbts	4.1.1
python3-distro	1.9.0-1
python3-distro-info	1.13
python3-idna	3.10-1+deb13u1
python3-jinja2	3.1.6-1
python3-json-pointer	2.4-3
python3-jsonpatch	1.32-5
python3-jsonschema	4.19.2-6
python3-jsonschema-specifications	2023.12.1-2
python3-jwt	2.10.1-2+deb13u1
python3-markupsafe	2.1.5-1+b4
python3-minimal	3.13.5-1
python3-netplan	1.1.2-7
python3-oauthlib	3.2.2-3
python3-pip-whl	25.1.1+dfsg-1
python3-referencing	0.36.2-1
python3-reportbug	13.2.0
python3-requests	2.32.3+dfsg-5+deb13u1
python3-rpds-py	0.21.0-2+b1
python3-setuptools-whl	78.1.1-0.1
python3-urllib3	2.3.0-3+deb13u2
python3-venv	3.13.5-1
python3-yaml	6.0.2-1+b2
python3.13	3.13.5-2+deb13u4
python3.13-minimal	3.13.5-2+deb13u4
python3.13-venv	3.13.5-2+deb13u4
qemu-user	1:10.0.11+ds-0+deb13u1
qemu-user-binfmt	1:10.0.11+ds-0+deb13u1
qemu-utils	1:10.0.11+ds-0+deb13u1
readline-common	8.2-6
reportbug	13.2.0
ripgrep	14.1.1-1+b4
